Time;Open;High;Low;Close;Volume
11-12-2017;496.9;504.1;496.8;499.3;1
12-12-2017;499.1;640;486.5;620.4;137340
13-12-2017;620.4;742;584.1;693.1;138100
14-12-2017;693;742;647;688.4;143834
15-12-2017;689.7;692.4;601.4;676.8;137516
17-12-2017;721.6;722.8;704.5;707.2;11302
18-12-2017;707.4;800.1;670.9;787;156916
19-12-2017;787;870;771.7;815.3;152480
20-12-2017;814.8;832.5;720.7;797.4;155770
21-12-2017;797.2;841.6;752;784.2;156680
22-12-2017;784;792.5;500.5;674.8;132420
24-12-2017;640.5;695;637.5;688.2;12564
25-12-2017;687.6;750;683.3;724.1;158254
26-12-2017;724.1;764;715.9;751.1;158616
27-12-2017;751.1;770;704.5;734.6;156540
28-12-2017;734.6;739;666.4;711.9;138414
29-12-2017;712;750.4;704.9;726.7;94830
1-1-2018;755.8;758.7;748;750.5;8636
2-1-2018;748.7;874.5;748.7;856.2;107032
3-1-2018;855.6;943.6;845.3;934.5;107142
4-1-2018;934.7;990.3;897.7;938.5;104970
5-1-2018;938.3;1010.5;926.4;950.7;103312
7-1-2018;1082.3;1110.7;1074.1;1107.9;3782
8-1-2018;1111.7;1221.5;966.4;1129.3;110448
9-1-2018;1127.6;1293.3;1123.2;1282.2;110752
10-1-2018;1282.3;1376.4;1202.7;1240.3;127728
11-1-2018;1240.3;1327.1;1092.9;1132;132500
12-1-2018;1132;1281.1;1079.5;1249.4;123250
14-1-2018;1314.7;1362.8;1313.7;1352.6;7068
15-1-2018;1352.4;1374.4;1264.7;1271.6;125746
16-1-2018;1271.8;1274.9;857;1052.7;97778
17-1-2018;1051.1;1106.3;759.6;1014.7;91806
18-1-2018;1020.8;1083.8;935.6;999.7;141546
19-1-2018;998.2;1082.7;964.1;1015.3;129598
21-1-2018;1025.6;1043;1008.2;1041.7;11448
22-1-2018;1041.6;1078.4;910.3;992.3;138918
23-1-2018;992.4;1015.9;902.4;978.2;136992
24-1-2018;978.8;1058.5;951.5;1057.3;113384
25-1-2018;1055.7;1096.6;1017;1042.1;113384
26-1-2018;1040.2;1069.9;979.7;1031.2;66498
28-1-2018;1224.9;1234.2;1219.6;1224.8;6
29-1-2018;1223.5;1234.3;1145.3;1165.3;74
30-1-2018;1165.5;1168.7;1028.9;1059.3;91
31-1-2018;1058.8;1119.7;1014;1107.8;93
1-2-2018;1107.1;1153.6;945.4;1026.3;93
2-2-2018;1019.2;1026.3;735.6;882.9;92
4-2-2018;805.2;844.8;803.2;821;8
5-2-2018;821;852.3;625.5;688.8;108
6-2-2018;690;796.9;560.1;779.4;126
7-2-2018;778.8;854.7;712;745.8;103
8-2-2018;746.6;839.3;743.9;808.3;96
9-2-2018;806.8;874.5;775.4;856.4;81
11-2-2018;827.8;830.8;802;805.7;6
